freq,unit,sex,age,isced11,geo\TIME_PERIOD	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,F,Y15-19,ED0-2,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.3 u	12.0 u	15.1 u	16.2 b	9.2 u	8.9 u	9.8 u	10.9 u	9.5 u	23.2 b	16.7 b	16.2 b	15.2 b	14.1 	14.7 	13.4 	12.9 	12.3 	13.9 	13.9 b	10.3 u	15.7 	14.7 	13.0 u	9.6 u	12.2 u	14.6 b	16.7 	15.4 
A,PC,F,Y15-19,ED0-2,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: u
A,PC,F,Y15-19,ED0-2,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.9 bu	36.4 u	: u	34.8 u	32.5 u	39.2 u	39.2 bu	: bu	34.6 u	: bu	: u	: u	: u	35.2 bu	34.4 u	29.9 u	32.3 bu	33.0 u	38.6 	30.4 bu	21.6 u	26.3 u	34.0 bu	36.6 u	27.0 u	20.5 bu	21.2 	19.9 u	24.3 	20.9 bu	18.6 u	23.2 
A,PC,F,Y15-19,ED0-2,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.4 u	70.0 bu	61.5 u	: bu	: u	48.8 bu	48.6 bu	: u	: bu	: u	: bu	: bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: bu	: bu	: u
A,PC,F,Y15-19,ED0-2,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 u	6.6 u	5.6 bu	6.0 u	4.6 u	7.8 u	3.0 u	6.6 	6.1 u	10.3 b	6.5 u	7.3 	7.0 u	8.7 	7.8 b	7.7 	6.2 	7.9 	7.9 b	8.5 	8.3 	7.9 	7.6 	7.5 	8.2 	10.2 b	8.4 	9.6 
A,PC,F,Y15-19,ED0-2,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: bu	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: bu	: u	: u
A,PC,F,Y15-19,ED0-2,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.2 bu	56.0 	45.5 	49.8 u	51.8 u	67.2 b	56.7 u	53.6 b	53.2 	40.4 u	46.3 	48.5 	51.9 	49.0 b	44.2 u	52.7 u	28.9 bu	36.9 u	32.9 u	22.6 u	16.5 u	23.8 u	29.2 u	27.8 bu	24.7 u	17.4 u
A,PC,F,Y15-19,ED0-2,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	4.3 	6.2 	6.9 	6.9 b	8.3 	: 	6.5 	6.8 	5.9 	6.1 	6.6 	9.0 	14.9 b	13.9 b	13.4 	11.2 	12.1 	11.1 b	9.8 b	8.6 b	7.9 	8.5 b	9.1 	8.3 	8.7 	7.3 	6.6 	9.5 bu	10.7 b	9.2 	7.8 
A,PC,F,Y15-19,ED0-2,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.3 	12.7 	5.3 u	9.7 	12.6 	9.8 	9.5 b	9.3 	7.2 u	11.4 u	: u	12.5 b	5.6 u	8.6 b	8.5 	8.7 b	13.3 b	14.8 	16.7 	19.0 	18.0 	16.9 	14.8 b	12.4 	13.4 b	14.6 b	11.3 	12.4 	14.0 	12.5 b	11.6 	14.3 b
A,PC,F,Y15-19,ED0-2,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.2 	19.8 	22.9 	23.3 b	22.7 	21.0 	20.8 	23.6 	24.3 	24.6 	25.9 	25.7 	24.6 b	23.1 	21.5 	20.0 	17.9 	16.8 	18.9 	21.0 b	18.7 	17.0 
